x_pw,y_pw,z_pw,x_nw,y_nw,z_nw
-5354,362.8739929,-187.6666718,1,0,0
-5362.333496,379.3333435,-179.3333282,0,0.707106769,0.707106769
-5354,379.3333435,-54,1,0,0
-5362.333496,383.6666565,-166.3333282,0,0.707106769,-0.707106769
-5354,358.5406494,66.66666412,1,0,0
-5354,342.0812988,-58.33333206,1,0,0
-5370.666504,379.3333435,-170.6666718,0,0.707106769,-0.707106769
-5354,466.6666565,-187.6666718,1,0,0
-5362.333496,392.3333435,-183.6666718,0,-0.707106769,0.707106769
-5354,441.5406494,-196,1,0,0
-5370.666504,383.6666565,-183.6666718,0,0.707106769,0.707106769
-5354,392.3333435,-58.33333206,1,0,0
-5362.333496,396.6666565,-170.6666718,0,-0.707106769,-0.707106769
-5354,396.6666565,54,1,0,0
-5354,471,-66.66666412,1,0,0
-5370.666504,396.6666565,-179.3333282,0,-0.707106769,0.707106769
-5354,383.6666565,58.33333206,1,0,0
-5370.666504,392.3333435,-166.3333282,0,-0.707106769,-0.707106769
-5362.333496,379.3333435,170.6666718,0,0.707106769,0.707106769
-5354,362.8739929,187.6666718,1,0,0
-5362.333496,383.6666565,183.6666718,0,0.707106769,-0.707106769
-5370.666504,379.3333435,179.3333282,0,0.707106769,-0.707106769
-5362.333496,392.3333435,166.3333282,0,-0.707106769,0.707106769
-5370.666504,383.6666565,166.3333282,0,0.707106769,0.707106769
-5354,464.7744141,180.2937012,1,0,0
-5362.333496,396.6666565,179.3333282,0,-0.707106769,-0.707106769
-5354,539.1077271,-67.62702179,1,0,0
-5354,537.2155151,58.33333206,1,0,0
-5370.666504,396.6666565,170.6666718,0,-0.707106769,0.707106769
-5354,439.648407,188.6270294,1,0,0
-5370.666504,392.3333435,183.6666718,0,-0.707106769,-0.707106769
-5354,1086.454712,-188.1903076,1,0,0
-5362.333496,1086.017212,-183.7535858,0,-0.783367813,0.621558368
-5354,1083.855347,-195.2703857,1,0,0
-5354,1083.007935,-191.202774,1,0,0
-5362.333496,1082.867676,-187.4280853,0,-0.669169545,0.743109822
-5370.666504,1083.277588,-187.05896,0,-0.669169545,0.743109822
-5354,1089.000244,-59.29368973,1,0,0
-5362.333496,1089.838501,-174.2181549,0,-0.974799514,-0.223082647
-5354,1089.838501,55.63077927,1,0,0
-5354,1128.117798,-66.66666412,1,0,0
-5354,1126.225586,-192.6270294,1,0,0
-5370.666504,1088.347046,-180.817337,0,-0.783367813,0.621558368
-5354,1081.387329,-55.63077927,1,0,0
-5362.333496,1084.774658,-165.2615509,0,-0.433781445,-0.901018083
-5354,1084.77478,54,1,0,0
-5370.666504,1089.000366,-170.5552521,0,-0.974799514,-0.223082647
-5354,1071.225342,-54,1,0,0
-5362.333496,1074.612671,-163.6307831,0,0.433781445,-0.901018083
-5354,1074.612671,55.63077927,1,0,0
-5370.666504,1081.387329,-163.6307831,0,-0.433781445,-0.901018083
-5354,1066.161499,-55.63077927,1,0,0
-5362.333496,1066.999756,-170.5552521,0,0.974799514,-0.223082647
-5354,1066.999634,59.29368973,1,0,0
-5370.666504,1071.22522,-165.2615509,0,0.433781445,-0.901018083
-5354,1069.545288,-188.1903076,1,0,0
-5362.333496,1067.652954,-180.8173218,0,0.783367813,0.621558368
-5354,999,-66.66666412,1,0,0
-5354,927,66.66666412,1,0,0
-5354,995.2155151,66.66666412,1,0,0
-5370.666504,1066.161499,-174.2181549,0,0.974799514,-0.223082647
-5354,1072.992065,-191.202774,1,0,0
-5362.333496,1072.722412,-187.05896,0,0.669169545,0.743109822
-5354,1072.144653,-195.2703857,1,0,0
-5370.666504,1069.982788,-183.7535858,0,0.783367813,0.621558368
-5354,1073.847412,-191.3948975,1,0,0
-5362.333496,1073.694824,-188.3273163,0,0.960979998,0.276617944
-5354,1073.554565,-194.6395264,1,0,0
-5370.666504,1073.132324,-187.4281006,0,0.669169545,0.743109822
-5362.333496,1074,-194.4625092,0,1,0
-5370.666504,1074,-191.9250031,0,1,0
-5370.666504,1073.847412,-188.8574066,0,0.960979998,0.276617944
-5362.333496,1073.707153,-197.7071075,0,0.923882365,-0.382676542
-5362.333496,1072.414185,-199.4142303,0,0.38267988,-0.923881054
-5370.666504,1073.414185,-198.4142303,0,0.923882365,-0.382676542
-5354,928.8922729,-192.6270294,1,0,0
-5362.333496,999,-200,0,0,-1
-5354,930.7844849,-66.66666412,1,0,0
-5370.666504,1071.707153,-199.7071075,0,0.38267988,-0.923881054
-5354,853.8554077,-195.2703857,1,0,0
-5362.333496,854.2929077,-199.7071075,0,-0.38267988,-0.923881054
-5354,856.4547729,-188.1903076,1,0,0
-5370.666504,927,-200,0,0,-1
-5354,852.2929077,-195.1696167,1,0,0
-5362.333496,852.5857544,-198.4142303,0,-0.923882365,-0.382676542
-5354,852.4454956,-192.102005,1,0,0
-5354,853.0079956,-191.2028046,1,0,0
-5370.666504,853.5857544,-199.4142303,0,-0.38267988,-0.923881054
-5362.333496,852,-191.9250031,0,-1,0
-5370.666504,852,-194.4625092,0,-1,0
-5370.666504,852.2929077,-197.7071075,0,-0.923882365,-0.382676542
-5362.333496,852.1525879,-188.8574066,0,-0.960979998,0.276617944
-5362.333496,852.8676758,-187.4280853,0,-0.669169545,0.743109822
-5370.666504,852.3051758,-188.3273163,0,-0.960979998,0.276617944
-5362.333496,856.0172729,-183.7535858,0,-0.783367813,0.621558368
-5370.666504,853.2775879,-187.05896,0,-0.669169545,0.743109822
-5354,859.0002441,-59.29368973,1,0,0
-5362.333496,859.838562,-174.2181549,0,-0.974799514,-0.223082647
-5354,859.838562,55.63077927,1,0,0
-5370.666504,858.3469849,-180.817337,0,-0.783367813,0.621558368
-5354,851.3873901,-55.63077927,1,0,0
-5362.333496,854.7746582,-165.2615509,0,-0.433781445,-0.901018083
-5354,854.7746582,54,1,0,0
-5370.666504,859.0002441,-170.5552521,0,-0.974799514,-0.223082647
-5354,841.2253418,-54,1,0,0
-5362.333496,844.6126099,-163.6307831,0,0.433781445,-0.901018083
-5354,844.6126099,55.63077927,1,0,0
-5370.666504,851.3873901,-163.6307831,0,-0.433781445,-0.901018083
